2004   11 16 000000
2004   11 18 000000
2004   11  9 000000
2004   11  6 000000
2004   11 10 000000
2004   11  5 000000
2004   11 23 000000
2004   11 28 000000
2004   11 27 000000
2004   11  1 000000
2004   11 13 000000
2004   11 24 000000
2004   11  7 000000
2004   11 11 000000
2004   11 19 000000
2004   11  2 000000
2004   11 15 000000
2004   11 26 000000
2004   11  4 000000
2004   11 14 000000
2004   11 25 000000
2004   11 17 000000
2004   11 21 000000
2004   11 12 000000
2004   11 30 000000
2004   11 29 000000
2004   11 20 000000
2004   11  8 000000
2004   11 22 000000
2004   11  3 000000
